DATA ATUALIZACAO,Ticker,Ativo permanente,Capex,Capital de giro,Capital investido (medio),Despesas operacionais,Dívida Líquida,Dividendos,EBIT ajustado,EBITDA ajustado,FCFE,Lucro bruto,Lucro líquido ajustado,Net debt/EBITDA,Patrimônio líquido,Receita líquida,Resultado financeiro,Ano Referência,P/E,CDI,% Portfolio,Mkt Cap,Ajuste mkt cap,TIR
7/31/2022,EQTL3,,,,,,,,,,,,,,,,,2027,12.0,,,,0.0,0.00%
7/31/2022,GGPS3,,,,,,,,,,,,,,,,,2027,12.0,,,,0.0,0.00%
7/31/2022,HAPV3,,,,,,,,,,,,,,,,,2027,17.0,,,,0.0,0.00%
7/31/2022,INTB3,,,,,,,,,,,,,,,,,2027,13.0,,,,0.0,0.00%
7/31/2022,RENT3,,,,,,,,,,,,,,,,,2027,18.0,,,,0.0,0.00%
7/31/2022,MELI,,,,,,,,,,,,,,,,,2027,25.0,,,,0.0,0.00%
1/31/2023,EQTL3,,,,,,,,,,,,,,,,,2027,11.0,,0.0718,31643.42,0.0,0.00%
1/31/2023,GGPS3,,,,,,,,,,,,,,,,,2027,12.0,,0.0521,8304.39,0.0,0.00%
1/31/2023,HAPV3,,,,,,,,,,,,,,,,,2027,15.0,,0.0937,36792.92,0.0,0.00%
1/31/2023,INTB3,,,,,,,,,,,,,,,,,2027,15.0,,0.0676,10116.63,0.0,0.00%
1/31/2023,RENT3,,,,,,,,,,,,,,,,,2027,18.0,,0.1215,58600.14,0.0,0.00%
1/31/2023,MELI,,,,,,,,,,,,,,,,,2027,25.0,,0.0777,59432.97119,0.0,0.00%
3/31/2023,EQTL3,,,,,,,,,,,,2431.93,,,,,2023,,,0.0803,30446.34,0.0,0.00%
3/31/2023,EQTL3,,,,,,,,,,,,2607.06,,,,,2024,,,0.0803,30446.34,0.0,0.00%
3/31/2023,EQTL3,,,,,,,,,,,,3663.4,,,,,2025,,,0.0803,30446.34,0.0,0.00%
3/31/2023,EQTL3,,,,,,,,,,,,4078.28,,,,,2026,,,0.0803,30446.34,0.0,0.00%
3/31/2023,GGPS3,,,,,,,,,,,,659.24,,,,,2023,,,0.0463,8133.26,0.0,0.00%
3/31/2023,GGPS3,,,,,,,,,,,,811.64,,,,,2024,,,0.0463,8133.26,0.0,0.00%
3/31/2023,GGPS3,,,,,,,,,,,,1041.52,,,,,2025,,,0.0463,8133.26,0.0,0.00%
3/31/2023,GGPS3,,,,,,,,,,,,1251.95,,,,,2026,,,0.0463,8133.26,0.0,0.00%
3/31/2023,HAPV3,,,,,,,,,,,,284.42,,,,,2023,,,0.077,18717.95,0.0,0.00%
